delivery_person_id,name,phone,city,active_status
84,Megan Robertson,962.708.8562,Munich,True
85,Sandra Garrett,(481)632-3367x5208,Frankfurt,True
86,Sheri Whitehead,679.275.4126x357,Düsseldorf,True
87,Sarah Gonzalez,2264361524,Düsseldorf,True
88,Travis Sullivan,001-836-595-5405,Frankfurt,True
89,Valerie Hines,585.716.7965x19833,Berlin,True
90,Tracey Clark,519-945-9811x872,Stuttgart,True
91,Crystal Moore,(246)587-0073,Hamburg,True
92,Melanie Miller,(692)933-1057x8397,Cologne,True
93,Brandon Jimenez,(545)574-7905,Frankfurt,True
94,Ashley Keller,001-237-701-8103x95017,Düsseldorf,True
95,Regina Brown,779-551-8926x488,Cologne,True
96,Michael Watkins,8468068823,Düsseldorf,True
97,Patrick Andrews,642-413-2409x95202,Düsseldorf,True
98,Stephanie Martinez,974-258-4263,Stuttgart,True
99,Adam Weeks,+1-516-456-3148x4776,Stuttgart,True
100,Jonathon Gates,636-299-4116x17066,Hamburg,True
101,Danielle Wilson,2153192637,Stuttgart,True
102,Michelle Young,2208076307,Munich,True
103,John Pena,995-650-6607x1786,Berlin,True
104,Nicholas Todd,001-447-789-4957x459,Stuttgart,True
105,Sandra Williams,+1-531-693-9262,Stuttgart,True
106,Joseph Hensley,001-413-249-8268,Munich,True
107,Brian Lee,001-252-684-2775,Munich,True
108,Jonathan Joseph,550.743.0450x302,Hamburg,True
109,Frances Clark,+1-898-833-1484,Munich,True
110,Annette Olson,482.358.2624,Cologne,True
111,Brandon Watson,+1-345-534-1084x59302,Munich,True
112,Joseph Malone,+1-782-669-1795x1297,Frankfurt,True
113,Amy Adams,(984)492-6971x75338,Stuttgart,True
114,Mark Phillips,+1-760-735-4536x42953,Hamburg,True
115,Shannon Blake,(736)703-0804,Munich,True
116,Ross Perez,+1-857-730-8484x285,Frankfurt,True
117,Kyle Roach,(674)331-0873,Munich,True
118,Charles Roberts,001-638-487-8396,Hamburg,False
119,Christopher Trujillo,+1-877-453-0413x25826,Stuttgart,True
120,Stephanie Ruiz,285-328-7227x627,Stuttgart,True
121,David Ramos,318.692.4910x48895,Cologne,True
122,John Tucker,630.797.9785,Hamburg,True
123,Susan Peters,442-339-4662,Stuttgart,True
124,Robert Willis,2823727031,Munich,True
125,James Baker,733-601-9751,Stuttgart,True
126,Angel Barton,001-472-464-2699x52078,Hamburg,True
127,Gary Bradley,816.724.9207,Hamburg,True
128,Melissa Strong,9752999150,Berlin,True
129,David Montgomery,+1-922-933-8162x4176,Stuttgart,False
130,Suzanne Adams,001-258-838-7856x060,Hamburg,True
131,Vincent Berger,936-302-5268x7995,Berlin,True
132,Andrew Vazquez,(866)981-0862,Munich,True
133,Robin Johnson,2513972241,Hamburg,True
134,Paul Schroeder,572-968-0179,Düsseldorf,True
135,Elizabeth Deleon,872.240.7047x147,Cologne,True
136,Elizabeth Ewing,+1-345-541-3187x20149,Cologne,True
137,Tracey King,721-728-6188x82790,Cologne,True
138,Haley Hanna,001-922-320-5572,Stuttgart,True
139,Terri Chapman,849-653-4061x368,Cologne,True
140,Kelli Robertson,621-760-7282x6447,Berlin,True
141,Cindy Palmer,+1-884-708-2347x61573,Hamburg,True
142,Shannon Wells,+1-501-569-6120x4457,Frankfurt,False
143,Stephen Cobb,(853)527-5556,Frankfurt,True
144,Jamie Bryant,(201)580-7226,Berlin,True
145,Charles Ortiz,595-947-9786x463,Düsseldorf,True
146,Christopher Turner MD,323-519-4433x028,Cologne,True
147,James Thomas,+1-905-438-3338x226,Munich,True
148,Laura Mitchell,878.611.7492x6874,Frankfurt,True
149,Terri Morales,8173669109,Cologne,False
150,Suzanne Edwards,919-690-2948x49860,Stuttgart,True
151,Robert Underwood,960.506.5683x99817,Frankfurt,True
152,Bobby Kramer,001-258-661-6749x771,Düsseldorf,True
153,Steven Huffman,001-701-889-7726x307,Munich,True
154,Jose Sharp,001-435-316-8432x207,Hamburg,True
155,Henry Costa,(663)465-3706,Hamburg,True
156,Mark Fitzpatrick,(376)683-0379x7155,Berlin,True
157,Elizabeth Flores,972-204-6853x1155,Hamburg,True
158,Eric Brooks,+1-398-279-8499,Stuttgart,True
159,Rebecca Davis,+1-832-559-3527x207,Berlin,True
160,Lisa Guerra,668.344.7958x73678,Düsseldorf,True
161,Ronnie Cox,+1-624-405-5519x2025,Hamburg,False
162,Bradley Palmer,+1-327-902-6327x76492,Hamburg,True
163,Steven Smith,617.784.7502x04225,Hamburg,True
164,Ann Perry,(563)784-8931x450,Hamburg,True
165,John Mcgee,001-387-587-2402x2883,Düsseldorf,True
166,Cristian Ortiz,7922668976,Stuttgart,True
167,Hannah Wiggins,433.619.7718x46749,Frankfurt,True
168,Karen Simpson,655-710-1325,Munich,True
169,Gregory Gray,416-708-3203x999,Munich,True
170,Kimberly Galloway,+1-272-535-0098,Frankfurt,True
171,Deborah Harris,+1-430-639-8533x0358,Munich,True
172,Sierra Smith,558.503.8767,Frankfurt,True
173,Leslie Holt,6195227187,Berlin,True
174,Travis Lopez,+1-465-451-4482x51226,Cologne,True
175,Andrew Dudley,374.826.8577x70330,Berlin,True
176,Miguel Wilcox,399-445-3930x8464,Cologne,True
177,Paul Brown DDS,001-732-951-4132x3523,Munich,True
178,Melanie Barnes,(281)973-3680x90283,Berlin,True
179,Elizabeth Bush,001-549-710-6939x336,Munich,True
180,Mary Kim,(332)507-9484,Düsseldorf,True
181,Claire Fowler,(469)816-5196x2774,Munich,True
182,Kevin Craig,379-581-4323,Düsseldorf,True
183,Adrian Scott,+1-793-206-9364x968,Frankfurt,True
184,Peggy Hernandez,+1-422-733-0472,Berlin,True
185,Anna Young,(320)222-0216x73621,Berlin,False
186,Melissa Ibarra,(675)384-2736,Munich,True
187,Mrs. Laura Ashley,001-690-877-4759x589,Berlin,False
188,Jillian Brewer,(244)201-6091,Munich,True
189,Melissa Smith,+1-982-594-3927x635,Düsseldorf,True
190,Holly Parsons,+1-707-556-0168x94426,Frankfurt,True
191,Marcus Graham,550.804.9835,Hamburg,True
192,Morgan Lewis,8178697545,Cologne,True
193,John Smith,(567)576-1007x444,Stuttgart,True
194,Kimberly Duncan,919.744.8602x80054,Frankfurt,True
195,Dorothy Davis,+1-786-238-2782x2606,Munich,True
196,Felicia Smith,833.290.9978,Frankfurt,True
197,Valerie Gay,+1-528-918-1877x116,Hamburg,True
198,Bethany Ruiz,(922)718-1808x7546,Cologne,True
199,Jenny Willis,546.714.4444x39319,Hamburg,True
200,Bruce Richards,6392292738,Munich,True
